layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0,0
0,0.000751,0,0,6.8813,0
1,0.006843,0,0,36.7002,0
2,0.006104,0,0,18.3501,0
3,0.001266,0,0,9.175,0
4,5.1e-05,0,0,18.3501,0
5,0.001434,0,0,9.175,0
6,0.00116,0,0,9.175,0
7,0.002818,0,0,9.175,0
8,0.000456,0,0,9.175,0
9,0.001093,0,0,9.175,0
10,0.002689,0,0,9.175,0
11,0.000454,0,0,9.175,0
12,0.001092,0,0,9.175,0
13,0.002767,0,0,9.175,0
14,0.000453,0,0,9.175,0
15,0.000912,0,0,18.3501,0
16,0.00236,0,0,18.3501,0
17,0.004481,0,0,9.175,0
18,0.000998,0,0,4.5875,0
19,0.000765,0,0,9.175,0
20,0.001065,0,0,4.5875,0
21,0.001355,0,0,4.5875,0
22,0.001989,0,0,4.5875,0
23,0.000231,0,0,4.5875,0
24,0.000643,0,0,4.5875,0
25,0.001998,0,0,4.5875,0
26,0.00023,0,0,4.5875,0
27,0.000638,0,0,4.5875,0
28,0.001996,0,0,4.5875,0
29,0.00023,0,0,4.5875,0
30,0.000638,0,0,4.5875,0
31,0.001986,0,0,4.5875,0
32,0.00023,0,0,4.5875,0
33,0.000637,0,0,4.5875,0
34,0.00199,0,0,4.5875,0
35,0.000233,0,0,4.5875,0
36,0.00064,0,0,4.5875,0
37,0.00199,0,0,4.5875,0
38,0.000257,0,0,4.5875,0
39,0.000798,0,0,4.5875,0
40,0.001984,0,0,4.5875,0
41,0.00023,0,0,4.5875,0
42,0.000462,0,0,9.175,0
43,0.001483,0,0,9.175,0
44,0.003764,0,0,3.4406,0
45,0.000721,0,0,1.7203,0
46,0.000482,0,0,3.4406,0
47,0.00056,0,0,1.7203,0
48,0.000563,0,0,1.7203,0
49,0.001433,0,0,1.7203,0
50,0.000139,0,0,1.7203,0
51,0.000527,0,0,1.7203,0
52,0.001428,0,0,1.7203,0
53,0.000192,0,0,1.7203,0
54,0.000715,0,0,1.7203,0
55,0.001422,0,0,1.7203,0
56,0.000147,0,0,1.7203,0
57,0.000565,0,0,1.7203,0
58,0.001428,0,0,1.7203,0
59,0.000268,0,0,1.7203,0
60,0.000691,0,0,1.7203,0
61,0.00143,0,0,1.7203,0
62,0.000157,0,0,1.7203,0
63,0.000589,0,0,1.7203,0
64,0.001433,0,0,1.7203,0
65,0.000167,0,0,1.7203,0
66,0.000539,0,0,1.7203,0
67,0.001432,0,0,1.7203,0
68,0.000157,0,0,1.7203,0
69,0.000225,0,0,3.4406,0
70,0.000948,0,0,3.4406,0
71,0.002175,0,0,1.1469,0
72,0.000586,0,0,0.5734,0
73,0.000556,0,0,1.1469,0
74,0.000569,0,0,0.5734,0
75,0.001544,0,0,0.5734,0
76,0.000866,0,0,0.5734,0
77,0.000139,0,0,0.5734,0
78,0.000481,0,0,0.5734,0
79,0.001014,0,0,0.5734,0
80,0.000159,0,0,0.5734,0
81,0.000449,0,0,0.5734,0
82,0.001582,0,0,0.5734,0
83,0.000113,0,0,0.5734,0
84,0.000139,0,0,1.1469,0
85,0.000801,0,0,1.1469,0
86,0.001569,0,0,0.3584,0
87,0.000751,0,0,0.1792,0
88,5.5e-05,0,0,0.3584,0
89,0.000739,0,0,0.1792,0
90,0.000516,0,0,0.1792,0
91,0.000699,0,0,0.1792,0
92,0.000123,0,0,0.1792,0
93,0.000618,0,0,0.1792,0
94,0.000668,0,0,0.1792,0
95,0.000122,0,0,0.1792,0
96,0.000484,0,0,0.1792,0
97,0.000917,0,0,0.1792,0
98,0.000113,0,0,0.1792,0
99,0.000166,0,0,0.3584,0
100,0.000743,0,0,0.3584,0
101,0.000807,0,0,0.1792,0
102,5e-05,0,0,0.3584,0
103,0.000708,0,0,0.1792,0
104,0.000938,0,0,0.1792,0
105,0.001588,0,0,0.1792,0
106,0.000155,0,0,0.1792,0
107,4.7e-05,0,0,0.1792,0
108,0.000225,0,0,0.1792,0
109,0.001558,0,0,0.1792,0
110,0.000396,0,0,0.1792,0
111,0.000224,0,0,0.7168,0
112,0.000578,0,0,0.1792,0
113,0.000909,0,0,0.1792,0
114,0.000167,0,0,0.3584,0
115,0.000723,0,0,0.1792,0
116,0.00155,0,0,0.1434,0
117,0.000203,0,0,0.5734,0
118,4.8e-05,0,0,1.1469,0
119,0.000554,0,0,0.5734,0
120,0.000166,0,0,1.1469,0
121,0.000469,0,0,0.5734,0
122,0.001296,0,0,0.5734,0
123,5.1e-05,0,0,0.5734,0
124,0.001538,0,0,0.5734,0
125,0.000793,0,0,0.5734,0
126,0.002736,0,0,0.5734,0
127,0.000774,0,0,0.5734,0
128,0.001493,0,0,0.5734,0
129,0.001034,0,0,0.5734,0
130,0.000152,0,0,1.1469,0
131,0.000514,0,0,0.5734,0
132,0.001413,0,0,0.4301,0
133,0.000147,0,0,1.7203,0
134,0.002102,0,0,3.4406,0
135,0.000713,0,0,1.7203,0
136,0.000193,0,0,3.4406,0
137,0.000549,0,0,1.7203,0
138,0.001407,0,0,1.7203,0
139,5.5e-05,0,0,1.7203,0
140,0.001469,0,0,1.7203,0
141,0.001428,0,0,1.7203,0
142,0.000718,0,0,1.7203,0
143,0.001426,0,0,1.7203,0
144,0.000636,0,0,1.7203,0
145,0.001425,0,0,1.7203,0
146,0.000197,0,0,3.4406,0
147,0.00054,0,0,1.7203,0
148,0.002498,0,0,1.1469,0
149,0.000316,0,0,4.5875,0
150,5.2e-05,0,0,9.175,0
151,0.001101,0,0,4.5875,0
152,0.000461,0,0,9.175,0
153,0.000929,0,0,4.5875,0
154,0.001232,0,0,4.5875,0
155,0.000551,0,0,4.5875,0
156,0.001203,0,0,4.5875,0
157,0.001992,0,0,4.5875,0
158,0.000911,0,0,4.5875,0
159,0.001991,0,0,4.5875,0
160,0.000976,0,0,4.5875,0
161,0.001989,0,0,4.5875,0
162,0.000464,0,0,9.175,0
163,0.000953,0,0,4.5875,0
164,0.001204,0,0,1.7203,0
165,0.000199,0,0,3.4406,0
166,0.000551,0,0,1.7203,0
167,0.001318,0,0,1.7203,0
168,7.1e-05,0,0,1.7203,0
169,0.00058,0,0,1.7203,0
170,0.001428,0,0,1.7203,0
171,0.001531,0,0,1.7203,0
172,0.001429,0,0,1.7203,0
173,0.000549,0,0,1.7203,0
174,0.00142,0,0,1.7203,0
175,0.00022,0,0,3.4406,0
176,0.000651,0,0,1.7203,0
177,0.000914,0,0,0.5734,0
178,0.000159,0,0,1.1469,0
179,0.000543,0,0,0.5734,0
180,0.001615,0,0,0.5734,0
181,5.6e-05,0,0,0.5734,0
182,0.000527,0,0,0.5734,0
183,0.001846,0,0,0.5734,0
